Row	Reel	Side	File	Start	End	Duration	NID	Title	DisType	TapeDuration	Genre	Sequence	Translation Available?	Status	Comments	Prob?	TapeStart	TapeEnd	TapeLength	StartD	EndD			DurD	Ratio	
1	1	1	1_1	00:00	02:09	02:09	1	Remarks on the Lahu	monologue	013-030	2			inFlex	Background noise		13	30	17	0.0	129.0	x	1	129.0	0.13	
2	1	1	1_1	02:12	03:46	01:34	2	The Lahu way of life	monologue	033-045	2			inFlex	Barely audible at beginning		33	45	12	132.0	226.0	x	2	94.0	0.13	
3	1	1	1_1	03:50	04:44	00:54	3	Lahu writing	monologue	046-053	2			inFlex	Partly erased by mistake		46	53	7	230.0	284.0	x	3	54.0	0.13	
4	1	1	1_1	04:45	12:55	08:10	4	Elicitation of individual vocabulary items		055-124	x			inFlex	each item pronounced 3 times		55	124	69	285.0	775.0	x	4	490.0	0.14	
5	1	1	1_1	12:56	19:25	06:29	5	Bible reading (Mark 1:1-17)		125-182	18			inFlex			125	182	57	776.0	1165.0	x	5	389.0	0.15	
6	1	1	1_3	00:04	04:41	04:37	6	Bible reading (I Corinthians 13:1-13)		210-254	18			Defer			210	254	44	4.0	281.0	x		277.0	0.16	
7	1	1	1_3	04:44	07:55	03:11	7	Candid conversation		255-286	3			Unusable	Inaudible until 262		255	286	31	284.0	475.0	x		191.0	0.16	
8	1	1	1_3	07:56	12:29	04:33	8	A Lahu hunting expedition	playlet	287-333	4		Y	inFlex	Also Lh. fair copy		287	333	46	476.0	749.0	x	8	273.0	0.17	
9	1	1	1_3	12:33	24:14	11:41	9	Agriculture and livelihood	discussion	334-413	4		Y	inFlex	Also Lh. fair copy	x	334	413	79	753.0	1454.0	x	9	701.0	0.11	
10	1	1	1_3	24:16	27:07	02:51	11	Hymn		482-516	x			Defer			482	516	34	1456.0	1627.0	x		171.0	0.20	
11	1	1	1_3	27:07	31:02	03:55	12	The Widow and the Pharisees	sermon	517-567	17		Y	inFlex	Also with fair Lh. copy; with relevant Bible passage added		517	567	50	1627.0	1862.0	x	12	235.0	0.21	
12	1	1	1_3	31:02	32:42	01:40	13	"Hymn: ""Jesus Save Us"""		568-590	19			Defer			568	590	22	1862.0	1962.0	x		100.0	0.22	
13	1	1	1_3	32:43	36:35	03:52	14	The Widow and Pharisees (cont'd)		591-646	17		Y	Combine	Also with fair Lh. copy; with relevant Bible passage added		591	646	55	1963.0	2195.0			232.0	0.24	
14	1	1	1_3	36:35	40:25	03:50	15	Preventive medicine	lecture	647-704	2		Y	inFlex	Also with fair Lh. copy		647	704	57	2195.0	2425.0	x	15	230.0	0.25	
15	1	1	1_3	40:30	41:34	01:04	16	Traditional Lahu poetry		707-724	14			Defer			707	724	17	2430.0	2494.0	x		64.0	0.27	
16	1	1	1_3	41:34	43:27	01:53	17	Lahu animism	lecture	726-754	2		Y	inFlex	"""Spirits that bite and those that don't""; Also with fair Lh. copy"		726	754	28	2494.0	2607.0	x	17	113.0	0.25	
17	1	1	1_3	43:27	44:34	01:07	18	Incantation to the spirits		758-776	13			inFlex	In ancient ritual language		758	776	18	2607.0	2674.0	x	18	67.0	0.27	
18	1	1	1_3	44:34	44:50	00:16	19	"Song:  ""Wake up!"""		777-782	11		Y	inFlex	Also Lh. fair copy		777	782	5	2674.0	2690.0	x	19	16.0	0.31	
